Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
230272,OIE,45.248502,10.996098,Europe,Italy,Veneto,Erbè,Exact,01/08/2017,03/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",5642,1241,1241,4401,0,,,,
230271,OIE,45.045236,8.665277,Europe,Italy,Lombardia,Frascarolo,Exact,01/08/2017,03/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, mallard",,10,10,,,,,,
230184,OIE,-26.8,29.3,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_011,Exact,01/08/2017,03/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",398723,301,301,0,0,,,,
230242,OIE,49.2372,17.6977,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,30/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230241,OIE,49.2381,17.6964,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,30/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,1,,,,
230240,OIE,49.2373,17.6981,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,30/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230239,OIE,49.2373,17.6963,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,30/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230238,OIE,49.2378,17.699,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,30/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230254,OIE,51.664522,46.838921,Europe,Russian Federation,Saratovskaya Oblast,Berezovka,Exact,28/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",12,2,1,1,0,,,,
230233,OIE,49.028592,27.550671,Europe,Ukraine,Vinnyts'ka,Myhalivtsi,Exact,28/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",11,1,1,10,0,,,,
230226,OIE,55.149643,73.19133,Europe,Russian Federation,Omskaya Oblast,Kharino,Exact,28/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",2,1,1,,,,,,
230225,OIE,54.693,74.8753,Europe,Russian Federation,Omskaya Oblast,Kamyshino,Exact,28/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",37,4,4,2,,,,,
230173,National authorities,43.6225,122.255833,Asia,China,Nei Mongol Zizhiqu,"Horqin district, Tongliao city",Centroid Locality,28/07/2017,01/08/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,35000,15000,66500,,,,,
230270,OIE,51.51594,23.46433,Europe,Poland,Lubeiskie,Dobropol,Exact,27/07/2017,02/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230253,OIE,45.405284,37.969378,Europe,Russian Federation,Krasnodarskiy Kray,Petrovsky,Exact,27/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",4502,2,2,,,,,,
230237,OIE,49.2382,17.6995,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,27/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230232,OIE,51.655528,23.274472,Europe,Poland,Lubeiskie,Mosty,Exact,27/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",65,21,4,61,0,,,,
230224,OIE,55.453711,73.267174,Europe,Russian Federation,Omskaya Oblast,Nizhneirtyshskoe,Exact,27/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",3,3,,,,,,,
230223,OIE,55.5229,73.403555,Europe,Russian Federation,Omskaya Oblast,Kalachevka,Exact,27/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",2,2,,,,,,,
230204,OIE,37.6133,22.75,Europe,Greece,Peloponnisos,ARGOLIDA 7,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",2,2,0,0,0,,,,
230203,OIE,37.6408,22.8067,Europe,Greece,Peloponnisos,ARGOLIDA 6,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",1,1,0,0,0,,,,
230202,OIE,37.6367,22.7617,Europe,Greece,Peloponnisos,ARGOLIDA 5,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",2,1,0,0,0,,,,
230201,OIE,37.5961,22.8369,Europe,Greece,Peloponnisos,ARGOLIDA 4,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",3,1,0,0,0,,,,
230200,OIE,37.6164,22.8017,Europe,Greece,Peloponnisos,ARGOLIDA 3,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",2,1,0,0,0,,,,
230199,OIE,37.6881,22.7086,Europe,Greece,Peloponnisos,ARGOLIDA 2,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",2,1,0,0,0,,,,
230198,OIE,37.6408,22.8806,Europe,Greece,Peloponnisos,ARGOLIDA 1,Exact,27/07/2017,31/07/2017,Confirmed,West Nile Fever,,"domestic, equidae",1,1,0,0,0,,,,
230197,OIE,-17.81,24.06,Africa,Namibia,Caprivi,Musele Island-KasikaCrushpen,Exact,27/07/2017,01/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",500,15,0,0,0,,,,
230186,OIE,45.161023,10.63778,Europe,Italy,Lombardia,Castellucchio,Exact,27/07/2017,31/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",123463,123463,2537,0,0,,,,
230170,OIE,47.75667,22.83966,Europe,Romania,Satu Mare,Satu-Mare,Exact,27/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",3,,1,2,0,,0,,
230169,OIE,47.75667,22.83966,Europe,Romania,Satu Mare,Satu-Mare,Exact,27/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",4,1,1,3,0,,,,
230157,OIE,26.333333,43.966667,Asia,Saudi Arabia,Quassim,Buraidah ,Exact,,27/07/2017,Confirmed,MERS-CoV ,,,,,,,,Male,36,1,
230329,OIE,-21.12213,30.17686,Africa,Zimbabwe,Masvingo,Chirindi,Exact,26/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1583,251,0,,11,,,,
230328,OIE,-20.32524,32.32621,Africa,Zimbabwe,Manicaland,Stage 3A,Exact,26/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",445,27,,,,,,,
230279,OIE,52.742187,1.594402,Europe,U.K. of Great Britain and Northern Ireland,England,North Norfolk,Exact,26/07/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,1,1,,,,,,
230269,OIE,51.468308,23.440839,Europe,Poland,Lubeiskie,Zdzarka,Exact,26/07/2017,02/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230268,OIE,51.480292,23.628536,Europe,Poland,Lubeiskie,Sobibor,Exact,26/07/2017,02/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230252,OIE,52.135324,45.844728,Europe,Russian Federation,Saratovskaya Oblast,Lokh,Exact,26/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",7,3,1,,,,,,
230231,OIE,51.631592,23.493614,Europe,Poland,Lubeiskie,Stawki,Exact,26/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",36,9,1,35,0,,,,
230230,OIE,53.498167,22.771306,Europe,Poland,Podlaskie,Dawidowizna,Exact,26/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",7,7,5,2,0,,,,
230191,OIE,45.22139,11.043313,Europe,Italy,Veneto,Nogara,Exact,26/07/2017,28/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",12200,2800,120,12080,,,,,
229632,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,,26/07/2017,Confirmed,MERS-CoV ,,,,,,,,Male,57,1,
230327,OIE,-20.26742,32.3876,Africa,Zimbabwe,Manicaland,Taguta,Exact,25/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",439,116,0,,,,,,
230326,OIE,-21.22458,30.27133,Africa,Zimbabwe,Masvingo,Dinhe,Exact,25/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",2285,67,0,,15,,,,
230251,OIE,49.288897,43.994674,Europe,Russian Federation,Volgogradskaya Oblast,Ilovlya,Exact,25/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",12,3,3,9,0,,,,
230236,OIE,49.2364,17.7013,Europe,Czech Republic,Jihomoravsky,Klecuvka,Exact,25/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230235,OIE,49.2359,17.7004,Europe,Czech Republic,Jihomoravsky,Klecuvka,Exact,25/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230234,OIE,49.2368,17.6999,Europe,Czech Republic,Jihomoravsky,Klecuvka,Exact,25/07/2017,01/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230229,OIE,52.033207,23.656527,Europe,Poland,Lubeiskie,Murawiec,Exact,25/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",17,8,2,15,0,,,,
230228,OIE,51.887278,22.663608,Europe,Poland,Lubeiskie,Kakolewnica,Exact,25/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",25,12,0,25,0,,,,
230274,OIE,15.037942,120.765382,Asia,Philippines,Region III (Central Luzon),San Luis,Exact,24/07/2017,11/08/2017,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",190000,36485,36485,,,,,,
230227,OIE,51.480292,23.628536,Europe,Poland,Lubeiskie,Sobibor,Exact,24/07/2017,31/07/2017,Confirmed,African swine fever,,"domestic, swine",1905,46,20,1885,0,,,,
230222,OIE,55.385176,73.23717,Europe,Russian Federation,Omskaya Oblast,Nizhnyaya Il’inka,Exact,24/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",2,2,0,,,,,,
230221,OIE,55.371399,72.905198,Europe,Russian Federation,Omskaya Oblast,Uvalo-Yadrino,Exact,24/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",2,2,0,,,,,,
230188,OIE,-26.9,28.9,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_010,Exact,24/07/2017,31/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",600,87,87,413,0,,,,
229639,OIE,51.651064,23.448408,Europe,Poland,Lubeiskie,Lack,Exact,24/07/2017,26/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229616,OIE,49.236,17.7008,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,24/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229603,OIE,23.85076,120.306669,Asia,Taiwan (Province of China),Taiwan Sheng,Dacheng Township,Exact,,24/07/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",18722,1680,1680,17042,,,,,
230265,OIE,51.0997,55.3434,Europe,Russian Federation,Orenburgskaya Oblast,Chashkan,Exact,23/07/2017,01/08/2017,Confirmed,Lumpy skin disease,,"domestic, cattle",134,1,,,,,,,
230250,OIE,48.5977,44.558,Europe,Russian Federation,Volgogradskaya Oblast,Sarpinsky,Exact,23/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",4,1,1,3,0,,,,
230249,OIE,48.666,44.053,Europe,Russian Federation,Volgogradskaya Oblast,Novy Rogachik,Exact,23/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",13,1,1,12,0,,,,
230220,OIE,55.323177,73.094624,Europe,Russian Federation,Omskaya Oblast,Krasnoyarka,Exact,23/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",3,3,,,,,,,
230219,OIE,54.58268,73.96836,Europe,Russian Federation,Omskaya Oblast,Solonovka,Exact,23/07/2017,01/08/2017,Confirmed,African swine fever,,"domestic, swine",4,1,1,,,,,,
230190,OIE,45.296691,11.316301,Europe,Italy,Veneto,Albaredo d'Adige,Exact,23/07/2017,28/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",17724,3120,1000,16724,,,,,
230171,FAO Field Officer,16.8,96.15,Asia,Myanmar,Yangon,Yangon,Exact,23/07/2017,31/07/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",25,6,6,19,0,,,,
229615,OIE,49.2346,17.7022,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,23/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229614,OIE,49.2355,17.7013,Europe,Czech Republic,Jihomoravsky,Lužkovice,Exact,23/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
230325,OIE,-21.58841,30.38758,Africa,Zimbabwe,Masvingo,Bubye,Exact,22/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1949,150,0,,10,,,,
230324,OIE,-22.329546,31.201613,Africa,Zimbabwe,Masvingo,Pesvi,Exact,21/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",830,15,,,,,,,
230323,OIE,-22.27023,31.22882,Africa,Zimbabwe,Masvingo,Davata,Exact,21/07/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1341,176,,,,,,,
230293,OIE,-26.3,28.9,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_017,Exact,21/07/2017,15/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, house sparrow, wild, unspecified bird",,5,1,,,,,,
230267,OIE,51.922897,23.457609,Europe,Poland,Lubeiskie,Choroszczynka,Exact,21/07/2017,02/08/2017,Confirmed,African swine fever,,"wild, wild boar",1,1,,,,,,,
230264,OIE,51.6714,55.726,Europe,Russian Federation,Orenburgskaya Oblast,Beregovoy,Exact,21/07/2017,01/08/2017,Confirmed,Lumpy skin disease,,"domestic, cattle",160,1,,,,,,,
230261,OIE,53.81666,9.733333,Europe,Germany,Schleswig-Holstein,Groß-Offenseth-Aspern,Centroid Locality,21/07/2017,01/08/2017,Confirmed,Equine infectious anaemia,,"domestic, equidae",49,1,0,1,0,,,,
230187,OIE,-26.8,28.9,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_009,Exact,21/07/2017,31/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",135,50,50,85,0,,,,
230166,OIE,48.690055,23.186025,Europe,Ukraine,Zakarpats'ka,Hunting ground ""Rusnyk"",Exact,21/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229645,OIE,52.326546,22.962956,Europe,Poland,Mazowieckie,Stare Mierzwice,Exact,21/07/2017,26/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229644,OIE,52.130037,23.030199,Europe,Poland,Lubeiskie,Lesna Podlaska ,Exact,21/07/2017,26/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229643,OIE,52.039714,23.259819,Europe,Poland,Lubeiskie,Woskrzenice Duze,Exact,21/07/2017,26/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229642,OIE,51.642301,23.515431,Europe,Poland,Lubeiskie,Stawki,Exact,21/07/2017,26/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229613,OIE,49.2368,17.7008,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,21/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
229605,OIE,48.690055,23.186025,Europe,Ukraine,Zakarpats'ka," Hunting ground ""Rusnyk""",Exact,21/07/2017,25/07/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
230195,OIE,5.54823,-74.46779,Americas,Colombia,Cundinamarca,Olla Caliente,Exact,20/07/2017,04/08/2017,Confirmed,Foot and mouth disease,O,"domestic, cattle",195,5,0,195,0,,,,
230189,OIE,45.363724,10.52547,Europe,Italy,Lombardia,Castiglione delle Stiviere,Exact,20/07/2017,28/07/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",460000,460000,5000,,,,,,
